plasmid_0;109+
plasmid_1;212+,318-,88+,243+,234-,216+,212+,317-,23+,106+,112-,151-,214-,70-,119-,306+,200+,137-,42+,123-,296-,322+,214-,98+,145+
plasmid_2;220+,289-,149-,146+,107+,131+,288-,103+,201+,219+,215+,211+,194-,209+,269-,272-,171-
plasmid_3;171+,94+,149+,290+,220-
plasmid_4;134-,102+,152-
plasmid_5;206-,210+,205-,278-,83+,238+,307+
plasmid_6;183+,229-,264-,79+,284-,301+,147-
plasmid_7;307-,238-,243-,305+,271+,100+,206+
plasmid_8;222-,256+,205-,278-,175+,28+,231-,280-,203-,282+,176-,275-,232-,179+,204-,266+,246-,64+,314+,212-,216-
plasmid_9;178-,181-,104-,226-,164+,49+,129-,63+,254+,306+,200+,137-,36+,164-,170-,178+,93+,315+,212-,216-
plasmid_10;128-,69+,175-,278+,205+,256-,222+
plasmid_11;127+,315+,212-,216-
plasmid_12;22-,287+,146-,251-,313+,193-,73+,283+,193+,312-,237-,166-
plasmid_13;279-,231+,143+,175-,263-
plasmid_15;192+,76+,166-
plasmid_16;185-,84+,197+,108-
plasmid_17;75+,95+,152-
plasmid_18;216+,212+,162-,35+,205+,256-,222+
plasmid_19;188+,99+,160-,225-,221-
plasmid_20;75+,101+,206+
plasmid_23;115+
plasmid_28;216+,212+,314-,105+,271-,305-,243+,238+,307+
plasmid_31;123+,151+,286+,159+,173+,190+,227+,165-
plasmid_35;121+,104+,141-,182-,187-,233-
plasmid_39;128-,300-,254-,241-,283+,193+,313-,251+,146+,287-,80+,284-,301+,147-
plasmid_40;158-,283+,193+,312-,251+,146+,287-,262-,151-,214-,293+
plasmid_53;268-,258+,137+,200-
plasmid_55;145-,90-,134+
