plasmid_0;116+,264+
plasmid_1;266+,73-,130-,299+,64-,132+,81+,343+,193+,304+,218+,308-,208+,266+,264-,72-,218-,303-,193-,342+,200-,117-,280+,326-,264-,140-,176+,256-,140-,188-,128+,269-,317-,241-,237+,208+,280+
plasmid_2;195-,227-,105+,167+,124-,58+,316-,330-,279-,189-
plasmid_3;75+
plasmid_4;247-,40-,123+,57+,264+,266-,208-,308+,238+,241+,317+,269+,148-,143+,169+,253+,247-,118+
plasmid_5;192+,309+,97+,195+
plasmid_6;218+,152-,264+,326+,280-,208-,308+,238+,82+,200+,343+,193+,303+,218+,92-,218-,304-,193-
plasmid_7;212-,311+,180-,114-,177-,155+,141-,270+,172+,83+
plasmid_8;320+,307-,89+,132-,98-,147+,320+,306+,150+,143+,158+,194-,305-,320-
plasmid_9;177+,113-,141+,184+,86+,241-,238-,308-,208+,280+,326-,264-,99+,155-,177+,21+,268-
plasmid_10;202+,293-,91-,129+,120+,269-,317-,241-,238-,308-,208+,266+,264-,167-,60+
plasmid_11;175-,61+,268-,317-,241-,238-,308-,208+,266+,264-,314+,259+,187-,260-
plasmid_12;190+,76+,248-,274-,273-,277-,240-,224-,255+
plasmid_13;286+,4-,141+,184+,100-,158-,143-,80+,200+,343+,193+,304+,119-
plasmid_14;106+
plasmid_15;143-,88+,158-,143-,38+,122+,19+
plasmid_16;143-,88+,158-,143-,35-,296-
plasmid_17;163-,275-,8-,158-,143-,88+,158-
plasmid_18;18-,158-,143-,88+,158-
plasmid_19;158-,143-,88+
plasmid_20;88+
plasmid_21;160-,36+,167+,264+,266-,208-,308+,238+,241+,317+,269+,146-,309-,192-
plasmid_22;238+,241+,317+,269+
plasmid_23;238+
plasmid_24;261+,187+,126+,298+
plasmid_25;261+,187+,259-,142+,122-,42-,160+
plasmid_26;211-,205+,329+,178+,230-
plasmid_27;211-,205+
plasmid_28;190+,7+,147+,137+,160+
plasmid_29;298+,162+,198+,130+,17+,147+
plasmid_30;30+,147+
plasmid_31;160-,28-,147+
plasmid_32;163-,275-,71+,123-,13+,110+,85-,129-,77+,147+
plasmid_33;163-,275-,25+,147+
plasmid_34;33-,335+,123-,115+,147+
plasmid_35;162-,104+,147+
plasmid_36;163-,275-,24+,124+
plasmid_37;162+,198+,130+,108-,129+,101-,124+
plasmid_38;87+,299-,130+,27-
plasmid_39;184+,46+,184-,141-,15+,299-,130+,174+
plasmid_40;196-,299-,130+,41-,141+,184+,6+
plasmid_41;163-,141+,184+,31+,297-
plasmid_42;163-,141+,184+,68+,141+
plasmid_43;159+
plasmid_44;190+,32+,299-
plasmid_45;190+,319-,221-,161-
plasmid_46;44+,110+,53+,265+
plasmid_47;2+,123+,45+,315-
plasmid_48;297+,79-,123+,145-
plasmid_49;287-,135-,227+,195+
plasmid_50;254+,297+,151+,232+,183-,334-,227+,195+
plasmid_51;184+,14-,297-
plasmid_52;184+,67+,160+
plasmid_53;184+,154-
