plasmid_0;75+
plasmid_1;91+,58+,111+,203+,188+,140+
plasmid_2;148-,90+,105-,61+,111+
plasmid_3;143+,169+,168+,59-,86-,53+,160+,91+,37+,129-
plasmid_4;65+,160+,91+,104+,57+,91-,48-,196-,81-,47-,111+,124+
plasmid_5;160-,86-,93-,91-,160-,87+,91-
plasmid_6;160-,69+,79+,105+,91-,160-,46+,160+
plasmid_7;160-,69+,79+
plasmid_8;143+,169+,173-,41+,185-,145-,158-,134+,155-,194-,147-,96-,167+
plasmid_9;77+,104-
plasmid_10;169+,174-,38-,89-,8-,74-,106+,118+,20+,164-,169-,143-
plasmid_11;169+,176+,50-,74-,106+,118+,76+,195-,81-,56+,70-,22+,174+,169-,143-
plasmid_12;171-,34+,70-,98+,145-,162-,110+,129-
plasmid_13;129+,49+
plasmid_14;129+,35-,169-,143-
plasmid_15;129+
plasmid_16;78-,207-,119-,187-,135-,209-,31-,118-,74+,4+,71+,130-
plasmid_17;101+,179+,103+,21+,118-,74+,1+,111+,124+
plasmid_18;29-,195-,81-,96-,165+,199+,183-,136+
plasmid_19;81-,96-,165+,199+,182-,136+
plasmid_20;143+,169+,175+,3-,147-,96-,167+,199+,183-,136+
plasmid_21;200-,182-,136+
plasmid_22;140-,177-,111-,2-,139+,181+,208-,150-,210-,94+
plasmid_23;7-,139+,166-,150-,210-,94+
plasmid_24;139+,166-,150-,211-,94+
plasmid_25;72-,80+,13-,73-
plasmid_26;140-,177-,111-,51+,80+,16+,171+
plasmid_27;147+,194+,154-,134-,204+,162+,145+,185+,25-,111+,205-,188+,140+
plasmid_28;143+,170+,171-,5-,111+,205-,188+,140+
plasmid_29;94-,211+,150+,208+,180-,153-,193+,36+,111+,205-,188+,140+
plasmid_30;198+,27+,111+,205-,188+,140+
plasmid_31;24+,111+,205-,188+,140+
plasmid_32;43-,111+,177+,140+
plasmid_33;140-,177-,111-,11+,111+,205-,188+,140+
plasmid_34;142-,15+,111+,205-,188+,140+
plasmid_35;111-,42-,111+
plasmid_36;149-,54+,111+
plasmid_37;176+,67+,111+
