plasmid_1;41+,19+,138-,147-,174-,108-,52-,108-,22+
plasmid_2;18+
plasmid_3;175-,115+,164-,69-,135-,57+,102+,99+,29+,107-,131-,79+,50+,114+
plasmid_10;186+,39+,163+,149+
