plasmid_0;21+
plasmid_1;67+,20+,75-
plasmid_2;43+,90-,101-,2-
plasmid_3;43+,30-,66+
plasmid_4;43+,90-,6-,42+
plasmid_5;43+,90-,101-
plasmid_6;109-,40-,59-,50+
plasmid_7;108-,40-,116-,52-,50+
plasmid_8;16-,98-,65+
plasmid_9;25+,98-,65+
plasmid_10;84-,105-,85+,62+,63+,7-,98-,65+
plasmid_11;1-,65+
plasmid_12;29-,45+,22+,39+,98-,65+
plasmid_13;98-,65+
plasmid_14;112+,41-,74+,104+,11-,42+
plasmid_15;41-,74+,104+,4+,42+
plasmid_16;9+,42+
plasmid_17;57+,36+,15-,42+
plasmid_18;67+,3-
plasmid_19;67+,18-,82+
plasmid_20;67+,38+,82-
