plasmid_0;60+,137-,35+,21+,35-
plasmid_3;15+,25+,13+,25+,114+,61-,128+,69-,125-,40+,63-,53-,81+,66+,75+
plasmid_4;36+,20+
plasmid_7;131+,115-,100+,116-,140-,24+
