plasmid_0;136+
plasmid_1;218-,320-,61-,137+,119+
plasmid_2;199+,264-,257+,249-,268-,238+,271-,88+,258-,222-,251-
plasmid_3;109+,227+
plasmid_4;247-,220-,209-,91-,186-,168-,171+,292-,323+,299-,245+,267-,276-,321-,326-,300-,173+,278-,180+,212-,131-
plasmid_5;282-,243-,335+,240-,89+,272+,318-,245-,299+,323-,292+,193-
plasmid_6;244+,103+,244-
plasmid_7;144+,287+,245+,318+,244-
plasmid_8;140-,185-,180-,277+,177+,317-,325+,172+,110-,159+,99-,315+,325+
plasmid_9;278+,97+,185-,180-,278+,184-,302+,270+,198+,214-,118+,281+,162-,106+,306-
plasmid_10;204+,201+,307-,281+,162-,328-,107+,162+,130+,158+,164-,39+,154-,310+,70+,159+,90-,215+,295+,164+,224-,145-,276+,272+,318-,245-,287-,80+,154-,239+,202+,309+,15-,172-,325-,315-
plasmid_11;79+
plasmid_12;299-,245+,318+,272-,276-,321-,326-,300-,142+,152-,98-,253-
plasmid_13;24+,328+,162+,281-,307+
plasmid_14;189+,207+,83+,160-
plasmid_17;211-,298+,279-,84+,228+
plasmid_18;187+,207+,94+,160-
plasmid_20;245-,287-,292+,319-,284-,225+,285+,216-,67+,291-,321+,276+,272+,318-,245-,299+
plasmid_21;240-,138+
plasmid_24;105+
plasmid_28;115+
plasmid_29;141+
plasmid_38;172+,183+,240+
plasmid_39;172+,176-,327-
plasmid_42;202-,239-,154+,126+,152+,208+,192-
plasmid_52;210-,190+,139-,165+,255-,205-,102+,121+,269-,311-,200+,147+,169+
plasmid_57;303+,147+
