plasmid_0;109+,334+
plasmid_1;140-,289+,45-,164-,205+,171+,129+,171+,154-,240+,182-
plasmid_2;164-,291+,130+,54+,215-,164-,205+,178+,122+,139-,168+,306+,151+
plasmid_3;222+,260+,98+,112+,79+,303+,145+,112-,135+,286+,334+,305+,157+,89-,119-,115-,215-
plasmid_4;228+,121+,206+,265-,351+,279+,241+,157-
plasmid_5;148+,274-,245+,112+,80-,130-,292+,62+,124-,119+,58+
plasmid_6;334-,99+,279+,241+,157-,305-,334-,110+,130-,292+,108+
plasmid_7;175+,69+,233+
plasmid_8;161+,319-,86+,222-
plasmid_9;133+,267-,180+,199+
plasmid_10;196-,94-,117-,25+,297-,168-,316+,234+
plasmid_11;144-,81-,117+,353-,114-,172-,198+,282+,221-,52+,334+,305+,157+,241-,279-,77+,177+,51+
plasmid_12;196-,68+,273+,165+,142-,326+,49+,326-
plasmid_13;118+,283+,334+,305+,157+,241-,277-,97-,277+
plasmid_14;323+,217+,317-,185-,300-,82+,328+,142+,166+,273-,243-,150-
plasmid_15;334-,286-,147+
plasmid_16;73-,279+,241+,157-,305-,334-,283-,75+,145+,261-,329+,113+,307-,160-
plasmid_17;100+,144+
plasmid_18;233-,105+,299-,168-,316+,234+
plasmid_19;239+,252-,186-,155-,279+,241+,157-,305-,334-,286-,91+,360-
plasmid_20;207+,210+,191-,342-,175+,106+,285+,290-,140+
plasmid_21;356-,309+,320+,358+,357-,268-,256+,236-,339+,352+,184-,224-,250-,254-,327-,275+,308+,322-,242-,244+,284+,312-,294-,169+
plasmid_22;292+,87+,307-,160-
plasmid_23;160+,307+,64+
plasmid_24;157-,305-,334-,96+,283+,334+
plasmid_25;201-,317-,185-,300-,107+,297-,168-,316+,234+
plasmid_26;199-,180-,218+,225+,341-,7-,125+,22-,123+,321-,76+
plasmid_27;104+,2-,123+,321-,32-,125+,15-,126-,251+,19-,124-,253-,24-
plasmid_28;279-,177-,3-,117+,353-,114-,173-,198+,281-
plasmid_29;78-,267-,180+,199+
plasmid_30;305+,157+
plasmid_31;21+,328+,142+,166+,273-,243-
plasmid_32;142+,166+,273-,243-
plasmid_33;251-,126+,9-,288-,212-,350+,269+,189+
plasmid_34;264+,335+,126+,16-,313+
plasmid_35;11+,264+,335+,126+
plasmid_36;264+,335+,126+,23+,122-,141+,104+
plasmid_37;126+,67+
plasmid_38;126+,167+,353+,117-,12+,300+
plasmid_39;126+,156+
plasmid_40;140-,290+,285-,128-,303+,145+,261-
plasmid_41;145+,261-
plasmid_42;161+,5+,307-,160-
plasmid_43;161+,319-,36-
plasmid_44;234-,316-,168+,299+,61-,123+,321-,57+
plasmid_45;83+,123+,321-,92-
plasmid_46;269-,90+,120+,10+,253+,124+,46-,123+,321-,47+,123+
plasmid_47;70-,253+,124+,28+
plasmid_48;30+,253+,124+,42+,200-
plasmid_49;111-,117+,20+,253+,124+,325-
plasmid_50;8+,253+,124+,44-
plasmid_51;253+,124+,60+,120-,27+,321+
plasmid_52;253+,124+,39+,200-
plasmid_53;331-,53+,120+,41+
plasmid_54;6-,120+,35-
plasmid_55;34-,120+
plasmid_56;120+
plasmid_57;234-,316-,168+,299+,84-
plasmid_58;234-,316-,168+
