plasmid_0;53+
plasmid_1;224-,49+
plasmid_2;196+,79-,261-,213-,199-,1+,94+,61+,224+,157-,211-
plasmid_3;241-,59+,87+,118-,232-,164-,43+,88-,111+,113-,81+,60+,88+,97-,241-,56+,93+,110-,81+,99-,57+,128-,162+,178-,66+,202-,168+,208-,231-,159+,172-,185-,143-,134+,83-,197-
plasmid_4;52+,242+,97+,111+,68+,94+,27-,224+,157-,211-
plasmid_5;205-,254-,220-,140-,173+,256+,123+,158+,163+,64+,87+,118-,71-,242+,97+,111+,48+,87-,195-,207-,55+,176+,218+,106+,245+,200-,107-,129+,76+,203-,260+,204+,239+,186+,141+,206-,124+,129+,136+,187+,233-,119+,121+,171-,82-,152+,132-,181-,166+,149-,148+
plasmid_6;203-,259-,204+,240+,186+,142+,206-,126-,127+,77+
plasmid_7;54+,193-,238+,111-,97-,243-,29-,81-,75+
plasmid_8;108+,127+,135+
plasmid_9;41+
plasmid_10;84+,171+,120+
plasmid_11;115+,229-,192+,63+,158-,122-
plasmid_12;205-,254-,221-,85+
plasmid_13;80+
plasmid_14;211+,157+,223-,73+,220+
plasmid_15;111+,5-,209+,50-,100-,25+,112+,31-,243+,97+,111+,51+
plasmid_16;115+,228+,192+,98+,244+,97+,111+,44-,103-,116+,188+,246+
plasmid_17;211+,157+,224-,35+
plasmid_18;91+
plasmid_19;70+
plasmid_20;205-,254-,221-,46+,221+
plasmid_21;72+
plasmid_22;89+,81-,34+,224+,157-,211-
plasmid_23;212+,157+,224-,22-,111-,97-,244-,138+,207+,180+
plasmid_24;92+
plasmid_25;74+
plasmid_26;194+,227+,145-,40+,118+,87-,86+,81+,11-,81+,8-,253+,175+,215+,156+
plasmid_27;205-,254-,221-,33+
plasmid_28;160+
plasmid_29;212+,157+,223-,101+
plasmid_30;224-,67+,81+,6-
plasmid_31;205-,254-,221-,28-,112+,18-,219+,199+,213+,261+,79+,196-
plasmid_32;156-,215-,175-,253-,23-,112+,19+
plasmid_33;224-,24+,112+,26+,100+,189-,16+,112+,14-
plasmid_34;32+,112+,3-,137-,222+
plasmid_35;156-,216-,175-,237+,252+,36+,244+,97+,111+,45-,112+,20+,112+,12+,189+,100-,4-,250+,253+,175+,215+,156+
plasmid_36;155+,47-,112+,65-,224+,157-,212-
plasmid_37;174+,139+,255-
plasmid_38;139+,78+,105-
plasmid_39;247+,146+,249-,182+,131+,125-,13+,221+
plasmid_40;10+,221+,254+,205+
plasmid_41;17-,221+
plasmid_42;224-,90-,221+
plasmid_43;155+,39+,221+
plasmid_44;97-,242-,7+,219+,198-,213+,261+,79+,184-,102+
plasmid_45;79+,184-,102+
plasmid_46;15-,118+
plasmid_47;114+,244+,97+
plasmid_48;254+,205+
plasmid_49;158+
