plasmid_0;53+
plasmid_1;224-,49+
plasmid_3;241-,59+,87+,118-,232-,164-,43+,88-,111+,113-,81+,60+,88+,97-,241-,56+,93+,110-,81+,99-,57+,128-,162+,178-,66+,202-,168+,208-,231-,159+,172-,185-,143-,134+,83-,197-
plasmid_4;52+,242+,97+,111+,68+,94+,27-,224+,157-,211-
plasmid_5;205-,254-,220-,140-,173+,256+,123+,158+,163+,64+,87+,118-,71-,242+,97+,111+,48+,87-,195-,207-,55+,176+,218+,106+,245+,200-,107-,129+,76+,203-,260+,204+,239+,186+,141+,206-,124+,129+,136+,187+,233-,119+,121+,171-,82-,152+,132-,181-,166+,149-,148+
plasmid_6;203-,259-,204+,240+,186+,142+,206-,126-,127+,77+
plasmid_7;54+,193-,238+,111-,97-,243-,29-,81-,75+
plasmid_8;108+,127+,135+
plasmid_9;41+
plasmid_10;84+,171+,120+
plasmid_11;115+,229-,192+,63+,158-,122-
plasmid_12;205-,254-,221-,85+
plasmid_13;80+
plasmid_14;211+,157+,223-,73+,220+
plasmid_17;211+,157+,224-,35+
plasmid_18;91+
plasmid_19;70+
plasmid_20;205-,254-,221-,46+,221+
plasmid_21;72+
plasmid_24;92+
plasmid_25;74+
plasmid_27;205-,254-,221-,33+
plasmid_29;212+,157+,223-,101+
plasmid_45;79+,184-,102+
plasmid_47;114+,244+,97+
