plasmid_0;1-,258-,54-,248-,30+,190+
plasmid_1;76+,24+,284-,45-,284+,10-,54+,257-,41+,54-,248-,30+,190+
plasmid_2;249+,23+,257+,54-,248-,15+,75+
plasmid_3;249+,23+
plasmid_4;44-,248+,54+,258+,17-,149+
plasmid_5;123+,233+,129-,207-,143+,70+,248+,54+
plasmid_6;5-,149+
