plasmid_0;141+
plasmid_1;275-,214-,158-,120+,275+,285-,277-
plasmid_2;14+,624+,351-,405+,320-,535-,124+,159+,81-,156+,88+,492-,223+,492-,106+,173+,582-,560-,269-,456+,272+
plasmid_3;190+,688-,540-,121+,412+
plasmid_4;363+,342+,149+,466+,221-
plasmid_5;542+,287+,543+,432-,175+,173+,582-
plasmid_6;277+,285+,275-,87-,515+,307-,295-,237-,217+,294-,613-,586+,76+,157+,119+,496-,179-,454-,201-,379-,409-,210+,467+,480-,163+,287-,542-
plasmid_7;287+,543+,100+,261-,730-,246+
plasmid_9;400-,82-,148+,39+,342-,363-
plasmid_10;565+,51+,164+,217-,238+,295+,308-,515-,689-,464+,587-,574+,71+,140-,64+
plasmid_11;205-,138-,157+,99+,727+,246+
plasmid_12;109+
plasmid_13;543+,432-,54-,289-,250-,456-,269+,560+,582+,173-,176+,534+,174+,116-,157+,104-,534+
plasmid_14;166+,173+,582-,560-,269-,456+,250+,289+,122-
plasmid_15;263+,661+,626-,508-,656-,105-,154-,144+
plasmid_16;84+
plasmid_18;199+,173+
plasmid_20;506-,285+,275-,79+
plasmid_21;197-,96+,400+,378+
plasmid_23;443-,147+,604-,162+
plasmid_24;604-,604-,162+,443-,612+,428-,160+,380-,243-,332-,265+,606-,606-,191+
plasmid_27;197-,628-,299+,19+,515+,308+,295-,238-,217+,164-,737-,159+,402-,264-,518-
plasmid_28;128+
plasmid_50;261+,97-
