plasmid_0;122+,270-
plasmid_1;145-,270-,330-,286+,123+,206+,346-,198+,309+,224-,78+,270-,272+,214+,244-,248-,322-,275-,133+,193+,145-,263+,181+
plasmid_2;194-,285+,335+,321-,62-,130+,172+,111+,232-,202-
plasmid_3;253-,39-,129-,61-,270-,330-,286+,214+,314+,246-,248-,322-,275-,153+,148-,174-,261+,253-,124+,333-,211+,293+,228+,217+,236+
plasmid_4;202+,103+,315+,197-
plasmid_5;82+
plasmid_6;314+,246-,88+,206+,346-,198+,309+,224-,99+,224+,310-,198-,347-,87+,136+,69-,305-,135+,79-,272+,214+,314+,224+
plasmid_7;273+,210-,136+,260+,174+,148+,155+,312-,325+,152-,104+,136-,95-,313+,325+
plasmid_8;236-,183-,331-,211+,187-,316-,185+,120-,182-,160+,146-,276+,177+,89+
plasmid_9;64+,172-,270-,330-,286+,214+,314+,246-,248-,92+,190+,146-,158+,131-
plasmid_10;208+,300+,97+,134+,126+,275+,322+,248+,246+,314-,214-,286-
plasmid_11;274+,20-,182-,160+,105+,270-,272+,214+,314+,246-,248-,322-,274+,65+,180+
plasmid_12;195+,83+,254+,281+,277-,284-,247-,230+,258+
plasmid_13;197+,315-,151+,275+,322+,248+,246+,314-,214-,272-,270+,157+,224+,310-,198-,347-,206-,86+,148-,163+,199+,311-,325+,152-,161+,206+
plasmid_14;112+
plasmid_17;94+,163-
plasmid_31;194-,305-,135+,179-
plasmid_41;202+,232+,140+
