plasmid_2;57-,30+
plasmid_3;11+,120+,140-,126+,146-,156-,51-
plasmid_5;119+,123+,99+,144-,97+,137+,107+,39+,121-,108+
plasmid_6;113+,72+,186+,39+,178+,66-
