plasmid_0;122+,270-
plasmid_1;322-,275-,133+,193+,145-,263+,181+,145-,270-,330-,286+,123+,206+,346-,198+,309+,224-,78+,270-,272+,214+,244-,248-,92+,190+,146-,158+,131-
plasmid_2;194-,285+,335+,321-,62-,130+,172+,111+,232-,202-
plasmid_3;266-,192+,264+,147-,128+,22+,304+,167-,204-,135+,79-,272+,214+,314+,246-,248-,322-,275-,153+,148-,174-,261+,253-,124+,333-,211+,293+,228+,217+,236+
plasmid_4;202+,103+,315+,197-
plasmid_5;82+
plasmid_6;253-,39-,129-,61-,270-,330-,286+,214+,314+,246-,88+,206+,347+,198+,309+,224-,99+,224+,310-,198-
plasmid_7;224-,314-,214-,286-,330+,270+,157+,224+,310-,198-,347-,87+,136+,260+,174+,148+,155+,312-,325+,152-,104+,136-,95-,313+,325+
plasmid_8;208+,300+,97+,134+,126+,275+,322+,248+,246+,314-,214-,272-,270+,172+,64-
plasmid_9;236-,218-,228-,291+,182+,120+,185-,316+,187+,211-,332-,26+,135-,305+,69+
plasmid_10;148+,94+,163-,148+,86-,206+
plasmid_11;150-,129+,121-,152+,325-,311+,199-,163-,148+,94+,163-
plasmid_14;195+,83+,254+,281+,277-,284-,247-,230+,258+
plasmid_15;172-,270-,272+,214+,314+,246-,248-,322-,274+,65+,180+
plasmid_27;194-,305-,135+,179-
