plasmid_0;32+
plasmid_1;50+
plasmid_2;71-,24+
plasmid_3;141-,249+,85-,254-,215+,55-,7-,257-,169-,2+,235-,154+,117-,180+,144-,91-,156+,128+,75+,137-,54-
plasmid_4;11+,125-,107+,128+,75+,137-,54-
plasmid_5;86+,34+,183-,130-,234-,146+,231-,66-,264+
plasmid_6;12+,143-,198+,95+,214+,184-
plasmid_7;104-,18-,64+,15-
plasmid_8;101-,1+,167-,3-,64+,17-
plasmid_9;167+,48+,64+,13-,255-
plasmid_10;109-,194-,93+,191-,127-,122-,155-,37-,65+,47-,64+,40-,129+
plasmid_11;16+,251-,65+,5+,64-,89+,64+,36-,170+
plasmid_12;83+,35+,114+,226+,175-,118-
plasmid_13;159-,204-,114+,226+,175-,118-
plasmid_14;104-,41-,114+,225-,177+,118-
plasmid_15;83+,31+
plasmid_16;58+,45+,221-,116+,105-,142-,81+
plasmid_17;121-,116+,105-,185-,232-,182-,81+
