plasmid_0;141+
plasmid_1;199+,173+,582-,560-,269-,456+,250+,289+,54+,432+,543-,287-,542-
plasmid_2;275-,214-,158-,120+,275+,285-,277-
plasmid_3;14+,624+,351-,405+,320-,535-,124+,159+,81-,156+,88+,492-,223+,492-,106+,173+,582-,560-,269-,456+,272+
plasmid_4;190+,688-,540-,121+,412+
plasmid_5;277+,285+,275-,87-,515+,307-,295-,237-,217+,294-,613-,586+,76+,157+,119+,496-,179-,454-,201-,379-,409-,210+,467+,480-,163+,287-,542-
plasmid_6;363+,342+,149+,466+,221-
plasmid_8;514+,435-,185+,218-,384+
plasmid_9;542+,287+,543+,432-,175+,173+,582-
plasmid_10;100+,261-,730-,246+
plasmid_11;122+,289-,250-,456-,269+,560+,582+,173-,176+,534+,174+,116-,157+,104-,534+
plasmid_12;166+,173+,582-,560-,269-,456+,250+,289+,227-,289-
plasmid_14;109+
plasmid_15;400-,82-,148+,39+,342-,363-
plasmid_16;565+,51+,164+,217-,238+,295+,308-,515-,689-,464+,587-,574+,71+,140-,64+
plasmid_17;547+,452-,207+,485+,108-,538+
plasmid_18;205-,138-,157+,99+,727+,246+
plasmid_20;263+,661+,626-,508-,656-,105-,154-,144+
plasmid_21;84+
plasmid_22;506-,285+,275-,79+
plasmid_23;197-,96+,400+,378+
plasmid_24;443-,147+,604-,162+
plasmid_26;97+,261-,727+,246+
plasmid_27;122+,289-,250-,456-,325-,341-,581+
plasmid_29;128+
plasmid_31;164+,328+,159+,402-,264-,518-
plasmid_43;560-,269-,456+,250+,289+,252-,534+,174+,181+,261-
plasmid_48;190+,688-,540-,194+,399+,594-,89+
plasmid_54;180+,203-
