plasmid_0;60-,70-,72+,75-,115-,23+,27-,152-
plasmid_1;30-,14+
plasmid_2;98-,94-,57-,79+,109+,20+,45-
plasmid_3;126+,22+,50+
plasmid_6;155+,97+,127+,101+,29+,134+,163+,118-
