plasmid_0;127+
plasmid_1;196-,88-,177+,135-,63-,193-,140+,183+,51-,168+,169+,196-,180-,40+,192-,140+,185+,90-,144+,164-,98-,140+,184+,65+,172+,123+,109-,134-,112+,150+,91+,174-,168+,96-,135+,43-,129+,22-,59+,129+,13+,164-,154+,161+,185-
plasmid_2;201+,182+,86+,201-,150+,195+,200-
plasmid_3;93-,106-,70+,160+,115-,148+,132-,152+,71-,84+,149-,58+,118-,125+,167-,66-,93-,107-,70+,159+,115-,153+,132-,151-,71-,82+,123-,173-,36-,136-,121+,53+,145+,113+,177+,135-,32+,199-,130+,92+,188-,176-,165+
plasmid_4;165-,176+,188+,67-,122+,167+,126-,118+,89-,141-,81+,146+,175+,101-,194+,140+,185+,111+,174-,168+,169+,196-,179-,108+
plasmid_5;99+,149-,162+,169-,168-,174+,95+,196+,169-
plasmid_7;119+,173+,123+
plasmid_8;166+,100+
plasmid_9;104+,187-,176-,165+
plasmid_11;120+
plasmid_12;85+,155+,47+,130-,198-,56+,174-,168+,169+,196-,180-,74+,131+,124-,131-,41+,197+,78-
plasmid_13;114+,172+,123+
plasmid_16;72+,179+,196+,169-,168-,174+,73-,201-,150+,195+,200-
plasmid_17;139-,180+,196+,169-,168-,174+,83+,182-
plasmid_18;105+
plasmid_20;165-,102+,192-,140+,183+
plasmid_21;174+,110+,157+,179+,196+,169-,168-,174+,94+,174-
plasmid_24;116+
plasmid_36;191-,134+
