plasmid_0;109+,334+
plasmid_1;222+,260+,98+,112+,79+,303+,145+,112-,335+,126+,9-,288-,212-,350+,269+,189+
plasmid_2;228+,121+,206+,265-,351+,279+,241+,157-
plasmid_3;171+,129+
plasmid_4;148+,274-,245+,112+,118+,283+,334+,305+,157+,89-,119-,115-,215-,164-,205+,178+,122+,139-,168+,297+,25-,117+,94+,196+
plasmid_5;161+,319-,86+,222-
plasmid_6;334-,99+,279+,241+,157-,305-,334-,96+,283+,334+
plasmid_7;175+,69+,233+
plasmid_8;222+,260+,133+,267-,180+,199+
plasmid_9;140-,289+,45-,164-,291+,130+,80+,112-,135+,286+,334+,305+,157+,241-,277-,97-,277+
plasmid_10;196-,68+,273+,165+,142-,326+,49+,326-
plasmid_11;144-,81-,117+,353-,114-,172-,198+,282+,221-,52+,334+,305+,157+,241-,279-,77+,177+,51+
plasmid_12;323+,217+,317-,185-,300-,82+,328+,142+,166+,273-,243-,14+,274-,329-,261+,145-,75-,283+,334+,305+,157+,241-,279-,73+
plasmid_13;334-,286-,147+
plasmid_14;58-,119-,124+,62-,292-,130+,54+,215-
plasmid_15;7-,125+,22-,123+,321-,35+,120-,34+,303+,145+,261-,329+,113+,307-,160-
plasmid_16;113+,307-,160-
plasmid_17;21+,328+,142+,166+,273-,243-,150-,130-,292+,62+,124-,253-,24-
plasmid_18;233-,105+,299-,168-,316+,234+
plasmid_19;261+,145-,75-,283+,334+,305+,157+,241-,279-,73+
plasmid_20;182+,240-,154+,171-,205-
plasmid_21;334-,286-,103-,279+,241+,157-,305-,334-,110+,130-,292+,108+,306-,168-,316+,234+
plasmid_22;91+,360-
plasmid_23;207+,210+,191-,342-,175+,106+,285+,290-,140+
plasmid_24;151+
plasmid_25;199-,153+,345+,225-,218-,180+,199+
plasmid_26;160+,307+,64+
plasmid_27;104+,2-,123+,321-,32-,125+,15-,126-,335-,264-
plasmid_28;85+,328+,142+,166+,273-,243-
plasmid_29;142+,166+,273-
plasmid_30;269-,90+,120+,10+,253+,124+,19+,251-,126+,11+,264+
plasmid_31;251-,126+,16-,313+
plasmid_32;264+,335+,126+,23+,122-,141+,104+
plasmid_33;126+,67+
plasmid_34;126+,167+,353+,117-,3+,177+,279+
plasmid_35;126+,156+
plasmid_36;299+,61-,123+,321-,76+
plasmid_37;83+,123+,321-,57+
plasmid_38;70-,253+,124+,46-,123+,321-,92-
plasmid_39;321-,47+,123+,321-,27-,120+,60-,124-,253-,30-
plasmid_40;324-,217+,317-,185-,300-,12-,117+,20+,253+,124+,42+,200-
plasmid_41;8+,253+,124+,325-
plasmid_42;253+,124+,44-
plasmid_43;253+,124+,41-,120-,53-,331+
plasmid_44;6-,120+
plasmid_45;234-,316-,168+,297+,107-,300+,185+,318+,201+
plasmid_46;31-,296+,185+,318+,201+
plasmid_47;163+,72+,137-,29+,300+,185+,318+,201+
plasmid_48;176+,296+,185+,318+,201+
plasmid_49;43+,300+,185+,318+
plasmid_50;185+,318+
plasmid_51;71-,117+,353-,114-,173-,198+,281-
