plasmid_0;109+,334+
plasmid_2;228+,121+,206+,265-,351+,279+,241+,157-
plasmid_3;171+,129+
plasmid_4;148+,274-,245+,112+,118+,283+,334+,305+,157+,89-,119-,115-,215-,164-,205+,178+,122+,139-,168+,297+,25-,117+,94+,196+
plasmid_5;161+,319-,86+,222-
plasmid_6;334-,99+,279+,241+,157-,305-,334-,96+,283+,334+
plasmid_7;175+,69+,233+
plasmid_8;222+,260+,133+,267-,180+,199+
plasmid_9;140-,289+,45-,164-,291+,130+,80+,112-,135+,286+,334+,305+,157+,241-,277-,97-,277+
plasmid_10;196-,68+,273+,165+,142-,326+,49+,326-
plasmid_11;144-,81-,117+,353-,114-,172-,198+,282+,221-,52+,334+,305+,157+,241-,279-,77+,177+,51+
plasmid_12;323+,217+,317-,185-,300-,82+,328+,142+,166+,273-,243-,14+,274-,329-,261+,145-,75-,283+,334+,305+,157+,241-,279-,73+
plasmid_14;58-,119-,124+,62-,292-,130+,54+,215-
plasmid_16;113+,307-,160-
plasmid_18;233-,105+,299-,168-,316+,234+
plasmid_21;334-,286-,103-,279+,241+,157-,305-,334-,110+,130-,292+,108+,306-,168-,316+,234+
plasmid_22;91+,360-
plasmid_23;207+,210+,191-,342-,175+,106+,285+,290-,140+
plasmid_26;160+,307+,64+
plasmid_45;234-,316-,168+,297+,107-,300+,185+,318+,201+
