plasmid_0;64+
plasmid_1;133-,164-,120-,89-,118-,72-,118+,161+,154-,176-,107+
plasmid_2;104+,27+,88+,75+,101-,18-,101-,55-,130-,159-,134+
plasmid_3;121+,179+,66+,173-,111+,191+,112+
plasmid_4;118+,161+,154-,176-,92+
plasmid_5;134-,160+,130+,171-,172+,189-,100-,88-,91+,119-,71+,121-
plasmid_6;154-,176-,84+,154+,161-,118-,105+,118+
plasmid_7;76+,120+,165+
plasmid_8;161+,154-,62+,169-,98-,112+
plasmid_9;158+,189+,172-,184-,111-,86+,146-
plasmid_10;67+,96-,87+
plasmid_11;116-,57+,146-
plasmid_12;113+,78+,141-
plasmid_13;115+,52+
plasmid_14;113+,83+,141-
plasmid_16;125-,163-,12+,95-,26-,197-
plasmid_34;99+,101+
