plasmid_0;20+
plasmid_1;111+,59+,87+,115+,37+,50-,127+,111+,117-,101-,31-,58-,108+
plasmid_2;54+,40+,97+,106-,140-,115-,87-,59-,110-,128+,50+,29+
plasmid_3;75+,65+,77-,119+,80+,97-,130-,58-,53-,107-,61-,46+,96+,19+,141-,50-,128-,110+,59+,87+,114-,36-,114+
plasmid_4;23+,71+,142+,51-,8-,47+,43-,100-
plasmid_5;139+,95+,113-,14+,118+,131+,60+,48-
plasmid_6;139+,95+,13-
plasmid_7;138-,95+,6+,131+,60+,48-
plasmid_8;139+,95+,113-,16+,125+,105-,63+,125+,104-,63+,126+,104-
plasmid_9;138-,95+,133-,4+
plasmid_10;139+,95+,17+,74-
plasmid_11;138-,95+,133-,35+
plasmid_12;95+
plasmid_13;38+,122-,73-,67-
plasmid_14;50+,141+,22-,58-,53-
plasmid_15;87-,59-,110-,128+,50+,141+
plasmid_16;54+,79-,101-,103+,96+,57-,61+,109-,53+,34+,80-
plasmid_17;96+,57-,61+,109-,53+
