plasmid_0;49+
plasmid_1;98-,32-,80-,79+,108+,55+
plasmid_2;72+,54+,80-,79+,108+,37+,91-
plasmid_3;81-,87-,99-,84+,99-,44+,74-,31-,94-,94-
plasmid_4;90-,56+,71+,66-,71-,36-,62-,119+
plasmid_5;61-,77+,19+,83+
plasmid_6;90-,68+,97+
plasmid_7;47+,77-,67-,89-
plasmid_8;91+,51+,97+
plasmid_9;59+
plasmid_10;104+,11+,75+,42-,83+
plasmid_11;76-,6-,75+,35+,69-,53+
plasmid_12;26+,75+,30+
plasmid_13;76-,114-,34-,75+,8+,78+
plasmid_14;110+,39+,69+,57+,75+,23-,107+,112-,82+
plasmid_15;91+
plasmid_16;104+,15+,108-,79-,80+,63+,83+
plasmid_17;2+,108-,79-,80+,46+
plasmid_18;20-,79-,80+,22+,107+,112-,82+
plasmid_19;40-,108-,79-,80+,13-,69-,5-,74+
plasmid_20;79-,80+,28-,69-,7-,109-
plasmid_21;79-,80+
plasmid_22;86+,14-,80+
plasmid_23;16+,69+,29-,114+,76+
plasmid_24;95-,38-,69+,12+,74-
plasmid_25;33-,69+,48-
plasmid_26;72+,21+,114+,76+
plasmid_27;97+
