plasmid_0;55+
plasmid_1;98+,111-,82-,66-,173+,83+,180-,70+
plasmid_2;141+,105+,140-,92-,150+,186-,157+,18+,177-,94+,171-,84-,49+,158-,85-,208+,131-,63-,103+,201-,96+,50-,83-,174-,13+,181-,83+,180-,71+,80-,58+,175+,94+,170+,10-,123-
plasmid_3;103-,63+,131+,208-,85+,159-,45+,176+,94+
plasmid_4;147-,115-,154-,89+,136-,113+,153+,87-,145+,60-,125+
plasmid_5;125-,54-,145-,86-,153-,112+,136+,90+,154+,114+,147+
plasmid_6;83+,180-,35+,174+,83+,50+,96-
plasmid_7;65-,170-,94-,178-,30+,174+,83+,180-,44-,138-,22+
plasmid_8;120+,82-,137+,88-,82-,164-,80+,64+,131+
plasmid_9;170-,94-,176-,47+,166+,128+,155+,172+,81-
plasmid_10;94-,176-,206-,137+
plasmid_11;130+,33+,174+,83+,180-,43+,178+,94+,171-,9-,80+,77+,171+
plasmid_12;11+,177-,94+,171-,62-,174+,83+,180-,12-,80+,40-,165-,29-,193-,118-,184+,197+,95+,195+,100-
plasmid_13;2-,178+,94+,171-,28-,168-,152+,160+,129+
plasmid_14;61+,177-,94+,171-,4+,180+,83-,174-,20-
plasmid_15;143+,185+,67+,102-,72+,1-,78-,5+
plasmid_16;143+,188+,67+,101+,72+,3+,80-,27+
plasmid_17;38-,174+,83+,180-,56-,118-,184+,197+,95+,195+,100-
plasmid_18;83+
plasmid_19;142+,14-,80+,17+,91+,151+
plasmid_20;19-,80+,204-,135-,182-,124+,183+,197+,95+,195+,100-
plasmid_21;96+,59+,80+,73-
plasmid_22;175-,36-,78+,16-,116+,75-
plasmid_23;175-,23-,78+,21-,171+
plasmid_24;41-,78+,26-
