plasmid_0;108-,58+,22+
plasmid_1;20+
plasmid_2;111+,59+,87+,115+,37+,50-,127+,111+,117-,101-,31-,58-,53-,107-,61-,46+,96+,19+,141-,50-,128-,110+,59+
plasmid_3;54+,40+,97+,106-,140-,115-,87-,59-,110-,128+,50+,29+
plasmid_4;33+
plasmid_5;114-,36+,114+,87-,59-,110-,128+,50+,141+
plasmid_15;38+,122-,73-,67-
