plasmid_0;49+
plasmid_1;90-,68+,97+
plasmid_2;86+,14-,80+,32+,98+
plasmid_3;72+,54+,80-,79+,108+,37+,91-
plasmid_4;83-,63-,80-,79+,108+,55+
plasmid_5;81-,87-,99-,84+,99-,44+,74-,31-,94-,94-
plasmid_6;61-,77+,19+,83+
plasmid_7;90-,56+,71+,66+,71-,36-,62-,119+
plasmid_8;47+,77-,67-,89-
plasmid_9;91+,51+,97+
plasmid_10;59+
plasmid_11;20-,79-,80+,13-,69-,24+,74+,4+,74-,25-
plasmid_12;104+,11+,75+,42-,83+
plasmid_13;76-,6-,75+,35+,69-,53+
plasmid_14;26+,75+,30+
plasmid_15;114-,34-,75+,8+,78+
plasmid_16;110+,39+,69+,57+,75+,23-,107+,112-,82+
plasmid_17;75+
plasmid_18;104+,15+,108-,79-,80+,46+
plasmid_19;2+,108-,79-,80+,28-,69-,5-,74+
plasmid_20;79-,80+,22+,107+
plasmid_21;79-,80+
plasmid_22;80+
plasmid_23;91+
plasmid_24;109+,7+,69+,29-,114+
plasmid_25;95-,38-,69+,12+
plasmid_26;112+,16+,69+,48-
plasmid_27;33-,69+,70-,106-
