plasmid_0;60-,70-,72+,75-,115-,23+,27-,152-
plasmid_1;30-,14+
plasmid_2;28+
plasmid_3;98-,94-,57-,79+,109+,20+,45-
plasmid_4;60-,71+,72+,77+,115-,8-,102+,147+,34+,12+,27-,151-
plasmid_5;29+,134+,2+,135+,102+,147+,34+,3+
plasmid_6;134+,125+,18-,135+,102+,148+,34+,4-,116-,106+,32-
plasmid_7;55-,7-,135+,102+,147+,34+,9-,34-
plasmid_8;16-,135+,102+,147+,34+
plasmid_9;138+,107-,49+,156-,51+
plasmid_10;121+,49+
