plasmid_0;74+
plasmid_1;114+,210-,231-,626+,416-
plasmid_3;488+,49+,121-,161+,487+,421+,79-,318-,209-,115+,395-,338+,488+,53-,121-,132-
plasmid_9;287-,441+,279-,278+,518+,621+,618+,342-,318-,209-,115+,395-,338+
plasmid_10;170+,397+,394-,78-,111-,322+,446+,507-,223-,308+,89+,608-,309+,454+,243-,254+,496+,396-,386+,433+,367-,122+
plasmid_11;161+,92-,121-,161+,104+,429+,369+,228+,498-,438+,415+
plasmid_12;325+,658-,387+,389+,361-,332+,97-,605+,84+,137+,136+,142-,335+,103+,193+,300-,426+,575-,244-,189-,339+,597-,348+
plasmid_13;18+,589+,151+,181+,590-,99+,515+,590+
plasmid_14;482-,585+,529+,451-,160+,369-,429-,85+,161-,121+
plasmid_15;102+
plasmid_18;91-,51-,417-,29+,91+,51-
plasmid_20;100+
plasmid_21;167+,171-,72-,116+,56+,165+
plasmid_22;527-,410+,13+,431+,158+,166-,242-,71+,413-,168+,611+,374+,176+,357-,319-,265-
plasmid_28;132+,550-,295-,519+,333+,536-,606-,521+,294+,324-,216-,175-
plasmid_30;553+,136+,198-,641-,383-,248+
