plasmid_0;53+
plasmid_1;211+,157+,224-,35+,88+,97-,241-,56+,93+,110-,81+,60+,88+,43-,164+,232+,118+,87-,59-,241+
plasmid_2;211+,157+,223-,101+,88-,111+,68+,94+,27-,224+,157-,212-
plasmid_3;111+,113-,81+,29+,243+,97+,111+,48+,87-,195-,207-,55+,176+,218+,106+,245+,200-,107-,129+,76+,203-,260+,204+,239+,186+,141+,206-,124+,129+,136+,187+,233-,119+,121+,171-,82-,152+,133-,181-,166+,149-,148+,183-,191+
plasmid_4;196+,79-,261-,213-,199-,1+,94+,61+,224+,157-,211-
plasmid_5;115+,229-,192+,63+,158-,122-,173-,140+,220+
plasmid_6;41+
plasmid_7;108+,127+,77+,203-,259-,204+,240+
plasmid_8;224-,49+
plasmid_9;84+,171+,120+
plasmid_10;52+,242+,97+,111+,51+,128-,162+,178-,66+,202-,168+,208-,231-,159+,172-,185-,143-
plasmid_11;197+,83+,134-,144+,185+,118+,87-,64-,163-,158-,123-,256-,173-,139+,78+,105-
plasmid_12;75-,81+,99-,57+
plasmid_13;205-,254-,221-,85+
plasmid_14;54+,193-,238+,111-,97-,242-,71+,118+,87-,86+,81+,89-
plasmid_15;115+,228+,192+,98+,244+,97+,111+,44-,103-,116+,188+,246+
plasmid_16;70+
plasmid_17;80+
plasmid_18;205-,254-,221-,46+,221+
plasmid_19;211+,157+,223-,73+,220+
plasmid_20;72+
plasmid_21;91+,197-
plasmid_22;194+,227+,145-,40+,118+
plasmid_23;50-,100-,25+,112+,18-,219+,199+,213+,261+,79+,196-
plasmid_24;142+,206-,126-,127+,135+
plasmid_25;205-,254-,221-,33+
plasmid_26;92+
plasmid_27;158-,123-,81+,8-,253+,175+,215+,156+
plasmid_28;211+,157+,224-,34-,81+,6-
plasmid_29;224-,67+,81+,11-
plasmid_30;174+,139+,255-
plasmid_31;58+,220+
plasmid_32;19-,112-,28+,221+,254+,205+
plasmid_33;247+,146+,249-,182+,131+,125-,13+,221+
plasmid_34;10+,221+,254+,205+
plasmid_35;111+,45-,112+,20+,112+,31-,243+,97+,111+,17-,221+,254+,205+
plasmid_36;224-,90-,221+
plasmid_37;194+,226+,145-,167+,221+,254+,205+
plasmid_38;7+,219+,198-,213+,261+,79+,184-,102+
plasmid_39;79+,184-,102+
plasmid_40;156-,215-,175-,237+,252+,36+,244+,97+
plasmid_41;212+,157+,224-,225-,164+,180-,207-,138-,244+,97+
plasmid_42;224-,24+,112+,26+,100+,189-,12-,112-,32-
plasmid_43;253-,23-,112+,14-
plasmid_44;155+,47-,112+,3-,137-,222+
plasmid_45;189-,16+,112+,65-,224+,157-,212-
