plasmid_0;186-,137+
plasmid_1;108-,121-,73+,157-,179+,199+,158-,173+,192+,58+,144+,56+,144-,99+,144+,124-
plasmid_2;111+,188+,201+
plasmid_3;117+,174+,168+,197+,165+,94+,121+,7+
plasmid_4;117+,174+,168+,197+,165+,195+,72-,88+,105-,190+,131-,37-,138-,122+,175+,168+
plasmid_5;165-,197-,168-,109+,188+,201+,195-,165-,80-,186+,201+
plasmid_6;179+,199+,158-,173+,35+,141+,126+,141-,98+,164-,79+,143+,115+,148-,101+,157-,179+,200+,158-,167+,159-,157-,180+,200+
plasmid_7;195+,201-,183-,114+,195-,165-,197-,76-,63+,183+
plasmid_8;200-,179-,157+,71+,167-,158+,200-,180-,157+,49-,191+,131+,190-,55-,193+,173-,158+,199-,179-
plasmid_9;167-,158+,200-,180-,157+,71+
plasmid_10;193-,51+,193+
plasmid_11;87+,188+,201+,195-,165-,197-,168-,130+,174+,168+
plasmid_12;183+,201+,195-,165-,197-,168-,171-,85+
plasmid_13;133-,138+,84-,163-,198-,50+,198+
plasmid_14;23-,144-,91+,174+,168+,197+,165+,195+,201-,160+,147-,146+,175+,168+
plasmid_15;180-,157+,110+,183+,201+,195-,165-,197-
plasmid_16;26+,154+,184-,92+
plasmid_17;166+,106+
plasmid_18;194-,95+,178-,169-,148-,61-,135+,60+
plasmid_19;194-,95+,178-,169-,148-,150-,181-,154+,182+,90+
plasmid_20;70+,176-,163-,145+
plasmid_21;48+,134+,46+,177+,169-,148-,34-,184+,154-,14-
plasmid_22;196-,43-,132+,13+,139+,185-,65+,143-,120+,188+,201+,195-,165-,197-
plasmid_23;96+,44+,139+,185-,65+,143-,120+,188+,201+,195-,165-,197-
plasmid_24;78+
plasmid_25;81+,183+,201+,195-,165-,197-
plasmid_26;81+
plasmid_27;68+,157-,180+
plasmid_28;172-,107+,172+
plasmid_29;86+
plasmid_30;102+
plasmid_31;158-,167+,11+,140+,24+
plasmid_32;177-,113-,140+,27+,152+,32-
plasmid_33;142-,154-,181+,153-,148+,169+,119+
plasmid_34;148+,169+,177-
plasmid_35;129+,1-,154-,181+,57-,152+,39-,185+,139-,12+,157-
plasmid_36;152+
plasmid_37;112-,181-,154+,4+
plasmid_38;112-,181-,154+,182+,75-
plasmid_39;155-,134+,67+,121+
plasmid_40;82-,121+
plasmid_41;151-,89-,136+,25-,187-,139-,8-,132+,41+
plasmid_42;83-,136+,10+
plasmid_43;66+,136+,103-,139+,30-,180+
plasmid_44;156-,139+,189-,42-,139+,187+,17-
plasmid_45;21+,132+,29+,139+,187+,116+
plasmid_46;52+,139+,187+,36-,132+,104-
plasmid_47;31-,151+,16-,139+,185-,28+
plasmid_48;134+,15-,139+,185-
plasmid_49;47-,139+,185-
plasmid_50;139+,185-
plasmid_51;138+
plasmid_52;134+
plasmid_53;64-,132+,54+,170-
plasmid_54;132+,33-
plasmid_55;159+,167-,158+
plasmid_56;167-,158+
