plasmid_0;101+,55+,98-,60-,49+
plasmid_1;110+,37+,78+,119-,117+,35+,43+,26+,62-
plasmid_2;85-,103+,66-,34+
plasmid_3;22-,50-,43+,1-
plasmid_4;112+,132+,19-
plasmid_5;112+,2+
plasmid_6;112+,30+,95+
plasmid_7;112+,13+,161+
plasmid_8;158-,188+,54+,150-,178-,58-,180-,168+,112+,42+,131+
plasmid_9;12-,95+
plasmid_10;95-,25-,95+
plasmid_11;95+
plasmid_12;49-,61+,98+,56+,101-
