plasmid_0;138+,626-,464-,664-,455-,436-
plasmid_1;143+,611-,710+,599+
plasmid_2;518+,574-,219+,530-,300+,337+,603+,106+,603-
plasmid_3;191-,122+,704+,231+,312+,393+,433-,375-
plasmid_4;627+,113+,373-,78-,191+
plasmid_5;368+,152+,209-,151-,37-,583-
plasmid_6;368+,152+,209-,151-,554-,245-,148-,708+,326+,688+,410+,612+,222-,434+
plasmid_7;39+,174-,177+,100+,639-,405+,159+,165-,387+,258-,374+
plasmid_8;518+,574-,219+,530-,300+,337+,603+,120+,243-,397+,372+,370-,658-,670+
plasmid_9;136+
plasmid_10;150+,462-,645+,670+
plasmid_11;253-,71-,639-,405+,172+,282-,475+,551-,216+,502+,483+,515-,493-,563+,386+,608-,518+,574-,219+,530-,300+,337+,603+,74-,141-,373+,466-,622-
plasmid_12;612-,410-,688-,326-,708-,142+,396+
plasmid_13;627+,117+,352+
plasmid_14;195-,686-,552+,212+,527-,377+,661-,580-,267-,257+,175-,336+,468+,420-,223-,614-,634+
plasmid_15;540+,241+,369-,686-,552+,212+,527-,377+,661-,580-
plasmid_16;670-,658+,114+,253+
plasmid_17;145+,431-
plasmid_18;613-,18+,205+,170-,228-,269-,414-,115-
plasmid_19;248-,116+,240-,694+,180+,276-,611-
plasmid_20;694+,180+,276-
plasmid_21;598+,137+
plasmid_22;670-,645-,188-,101+,536-,118-,619+
plasmid_23;708+,326+,688+,410+,612+,222-,434+,487+,375+,433+,393-,312-,231-,704-,197+,627-
plasmid_24;670-,658+,594-,624+,535+,576-,87+,431-
plasmid_25;613-,133+
plasmid_26;98+
plasmid_27;455-,436-,362-,544+,596-,363+,364-,230+,322-,560+,247+,382+,461+,345+,583+,161+,666-,670+
plasmid_28;129+,181+,166+,105+,274+,647+,565-,202-,210+,272-,299-,423+,199+
plasmid_29;386-,563-,493+,515+,481+,126+
plasmid_30;581+,654+,652-,482-,108+,482+
plasmid_31;171+,77+,157+
plasmid_32;484+,743-,510-,650+,728-,509-,624+,535+,576-,349+,95+,598-
plasmid_33;620+,307-,50+,599+,652+,654-,581-
plasmid_34;396-,131+,328-
plasmid_35;703-,425-,251+
plasmid_36;703-,425-,718-,178+,168+,234-
plasmid_37;168+
plasmid_38;99+,431-
plasmid_39;414+,269+,228+,170+,205-,65+
plasmid_40;414+,269+,228+,170+,205-,20-
plasmid_41;414+,269+,228+,170+,205-,32+
plasmid_42;170+,205-,92+
plasmid_43;170+
plasmid_44;752-,403-,541+,583+,19+,208+,338-
plasmid_45;164-,717-,400+,252-,177-,174+,28+,208+,338-
plasmid_46;70-,132+,208+,338-
plasmid_47;411+,84-,208+,338-
plasmid_48;331-,49+,208+,338-
plasmid_49;386-,563-,493+,515+,481+,502-,179-,192+,261-,183+,310+
plasmid_50;48+,156+,144+
plasmid_51;156+,144+
plasmid_52;156+
plasmid_53;464+,628-,569-,466+,373-,141+,24-
plasmid_54;752-,403-,466+,373-,141+,194+,61-
plasmid_55;261+
plasmid_56;186+,174-,177+,69+,583-
plasmid_57;177+
plasmid_58;187+,160-,253+
plasmid_59;657+,253+
plasmid_60;215+
plasmid_61;167+,181+,166+,31-
plasmid_62;107+,135+,10+,543-
plasmid_63;543+,57+,135-,140-,135+,47+,162-
plasmid_64;135+
plasmid_65;572+,522+,556+,625+,526-,453-,595+,490+,452-,218+,33-,498+
plasmid_66;572+,522+,556+,625+,526-,453-,595+,490+,452-,218+
