plasmid_1;87+
plasmid_2;219+,171-,185+,86-,100+,72+,108-
plasmid_3;162+,42-,130-,162+,207-,59+,224-,131+
plasmid_4;81+,101-,95+,174+,130-,162+,207-,62+,134+,58-,97+,53+,109+,39+,224-,131+
plasmid_5;130-,162+,207-,62+,134+,174+,130-,143+,101-,126-,208-,114-,214-,142+
plasmid_6;140-,222-,181-,78+,124-
plasmid_7;69-,100-,113-,127-,71+,174+,130-,162+,207-,91+,108-
plasmid_8;207-,83+,174+,130-,162+,207-,91+,108-
plasmid_9;162-,130+,174-,112-,177+,79+,154+
plasmid_10;124+,204-,76+,154+
plasmid_11;98+
plasmid_12;145-,201+,67+
plasmid_13;145-,201+,60+,157+,167+,131+
plasmid_14;93+
plasmid_33;99+
