plasmid_0;91+,234-
plasmid_1;252+,232+,143+,275+,234+,37-,192-,145+,88-,94+,185+,114+,200+,61-,82-,112+,65+,74-,53+,92-,77-,62+,24+,102+,90+,68+,174-,99-,204-,103-,144+
plasmid_2;149+,281-,54+,87-,45+,192-,146+,88-,95-,185+,113-,200+,61-,82-,66+,76+,50-,74-,53+,92-,77-,62+
plasmid_3;198-,55+,234-
plasmid_4;94+
plasmid_5;209-,52+,76+,48+,235-,260-,90-,102-,79-,76-,41+,231+,143-,232-,252-
plasmid_6;62-,56+,234-,275-,143-,232-,252-
plasmid_7;252+,232+,143+,275+,234+,42+
plasmid_8;18+
plasmid_9;149+,280+,47+,281+,149-
plasmid_10;149+,281-,46+,281+
plasmid_11;149+,281-,60+,291-,235-,260-,90-,71-,74-,109+
plasmid_12;126+,89+,98+
plasmid_13;87-,72+
plasmid_14;149+,280+,44+
plasmid_15;232+,143+,275+,78+
plasmid_16;149+,280+,23+,218+,205-,265+,255+
plasmid_17;110+,228+,207+,64+,235-,260-,90-,102-,34-,170-,273-,81+,284-,119+,194+,283-
plasmid_18;170-,272-,81+
plasmid_19;240-,205+,4+,139-,128+,202-,248-,151-,223-,211-,184+
plasmid_20;240-,205+,36-,234-
plasmid_21;240-,205+,10+,234-,275-,143-,237-,291-,235-,260-,90-,102-,241+
plasmid_22;240-,205+,218-,49+
plasmid_23;73+,102+,90+,260+,235+,158-,196+,59-,74+
plasmid_24;266-,152+,38-,102+,90+,260+,280-,149-
plasmid_25;280+,30+,102+,90+,260+,280-,149-
plasmid_26;233+,25-,102+,90+,260+,280-,149-
plasmid_27;234+,63+,102+,90+,260+,280-,149-
plasmid_28;11+,102+
plasmid_29;224+,151+,249-,202+,129+,139+,13+,102+
plasmid_30;101+,188-,176+,253-,191-,120-,198-,51-,102+
plasmid_31;87+
plasmid_32;181+,12-,76+,238-
plasmid_33;149+,280+,260-
plasmid_34;255-,171+,14-
plasmid_35;255-,171+,67+,111-
plasmid_36;126+,147-,40-
plasmid_37;126+,147-,9+,280-
