plasmid_0;176+,100+
plasmid_1;176+,139+,113+,94+,200+
plasmid_2;211+,141+
plasmid_3;230+,154+,182+,166-,223-,51-,117+,163-,131-,89+,191-,157-
plasmid_4;134-,210-,87+,210+
plasmid_5;198-,96+,198+
plasmid_6;129-,219-,83+,157-
plasmid_7;201-,77+,176-,215+,98-,128-,151-,216+,161+,128+,69-,171-,161-,215-
plasmid_8;121-,27+,209+,233-,118-,229+,146+,170-,165-,227-
plasmid_9;73+,142-,70+,116-,67+
plasmid_10;59+,176-,216+,161+,171+,184+,190+,165-,193-
plasmid_11;176+,90+,226-,175-
plasmid_12;82-,229-,118+,233+,211+,95+,116+,99+,176-,216+,161+,171+,184+,231+,123+,110-,56-,80-,140-
plasmid_13;134-,91+,181+,194-,147+,185-
plasmid_14;132+,176-
plasmid_15;231-,184-,171-,161-,216-,176+,125+,117+,164+,131-,54-
plasmid_16;231-,184-,171-,161-,216-,221+,110-,84+
plasmid_17;172+,88+
plasmid_18;143-,207+,76+,116-,103+,222+,166+,182-,154-,230-
plasmid_19;198-,124+,201+
plasmid_20;152+,199+,92+,181+,194-,148-,185-
plasmid_21;135+,62+,194-,148-,183-,154+,189+
plasmid_22;175+,226+,213+,61+,121+
plasmid_23;152+,199+,66+
plasmid_24;85+
plasmid_25;72+
plasmid_26;172+,107+
plasmid_27;127+,110+,11+,126+,144+,19+
plasmid_28;193+,165+,170+,150+,144+,5-,108-,24-,126+,144+,39-
plasmid_29;65+,112+,133-,126+,144+,75+
plasmid_30;175+
plasmid_31;118+,197-,79-
plasmid_32;118+,197-,35-,110+,21+,167-
plasmid_33;118+
plasmid_34;134+
plasmid_35;216+,161+,171+,184+,231+
plasmid_36;117+
plasmid_37;29-,219+,129+
plasmid_38;152+,199+,4-,129+
plasmid_39;143-,78-,112+,40-,135-
plasmid_40;179+,71+,110+,8-,112+,20-,109+,31+,136+
plasmid_41;112+,81+,235+
plasmid_42;140+,153-,111+,16+,217+
plasmid_43;145-,111+,93-,110+,46-,110+,22+,207-
plasmid_44;111+,37-
plasmid_45;192-,86+,109+,25-,109+,104+,108-,34+,207-
plasmid_46;135+,58+,109+,15-,109-,60-
plasmid_47;18+,109+,42+,110+,23-,140-
plasmid_48;12+,109+,63+,135-
plasmid_49;207+,55-,113+,10-,101-
plasmid_50;157+,191+,120-,150-,170-,165-,193-
plasmid_51;160+,114-,179-,180-,130+,32+
plasmid_52;68-,108+,138-,179-,180-,130+
plasmid_53;180-,130+,44+
plasmid_54;152+,38+,121+
plasmid_55;199+,97+,121+
plasmid_56;108+
plasmid_57;150+
