plasmid_0;60+
plasmid_1;127+,73+,149+,69+,243-,140+
plasmid_5;161+,84+,167-,203+,185-,183-,237-,263-,224-,47+,146-,252+,223+,143-,206+,260+,232-
plasmid_6;168+,118+,121+
plasmid_7;140-,122-,124-,82+,129+
plasmid_8;212-,52+
plasmid_9;127+,70+,269+
plasmid_10;287-,188-,298+,157-,130+,131+
plasmid_11;59+,147-
plasmid_12;229-,86+
plasmid_13;140-,243+,67+,197-,135-,110+,36+,157+,285+
plasmid_14;198-,74+,142+
plasmid_15;229-,71+,250-,275+,148-
plasmid_16;164+,98+,164-
plasmid_17;80+
plasmid_18;56+,146-,251-,223+,144-,206+,260+,232-
plasmid_19;168+,50+,107+,37+,187+,265-,272+,279+
plasmid_20;288-,150-,248-,85+,169-
plasmid_21;219+,89+,239+,222-,230+,103-,239+,241-,119+
plasmid_23;141-,55+,217+,116+,111+,301+,137-
plasmid_24;198-,90+,212+
plasmid_25;134+,197+,66+
plasmid_29;238-,277-,152+,255-,234-,99-,201-
