plasmid_0;97+,173+
plasmid_1;207+,93+,110-,137+,173+,193-,99-,124+,158-,173+,194-,190-,188-,124-,68+,169+,188+
plasmid_3;156+,197+,87+,127-,162+,113-,51+,227+,166-,183+,152+,234-
plasmid_4;131+,218+,86+,218-
plasmid_5;207+,95+,207-
plasmid_6;156+,82+,125-
plasmid_7;233-,164+,196-,187-,169+,188+,190+,193+,173-,76+,207-
plasmid_8;217+,26+,116-
plasmid_9;67-,112+,69+,140+,71-
plasmid_10;173-,83-,107+,120-,235+,187-,169+,188+,190+,194+,173-,59+,209+,117+,210+,78-
plasmid_11;235+,187-,169+,188+,190+,194+,173-,98+,112-,94+,219+
plasmid_12;235+,187-,169+,188+,190+,194+,173-,88+,232-,172+
plasmid_13;189-,149+,199-,182+,89+,131-
plasmid_14;90-,210-,117-,209-,129+
plasmid_15;54+,127-,161-,113-,121+
plasmid_16;138-,79-,56+,107+,47-,163-
plasmid_17;234+,152-,183-,166+,228+,101-,112+,75+,216+,141+
plasmid_18;189-,148+,199-,182+,91+,231-,145+
plasmid_19;132+,62+,199+,148-,186+,152-,195+
plasmid_20;172-,232+,221-,61+,116-
plasmid_21;66+
plasmid_22;84+
plasmid_25;200+,164+,168+,144+,208-,117+
plasmid_46;156+,197+,115-,147-
plasmid_55;105+
