plasmid_0;30+
plasmid_1;56+,69-,12-,51+,62+,79+,40+,103-,61-,2-,112+,104-,78-,130+,50+,143-,86+
plasmid_2;53+,126+,88-,36+,64-
plasmid_3;59+,43+,59-,20+
plasmid_4;76+,121+,91+,23+,90-,49+,89+,83+,81-,137-,73-,95-,53+
plasmid_5;76+,122+,91+,37+,64-
plasmid_6;42+
plasmid_7;92+,71-,77+,1-,116-,87+,74-,105+,109+,29+,84-,16+,66-
plasmid_8;61+,103+,44-,131-,51+,67+,79+,48-,99-,61+,102+,22-,119+,4+,104-,78-,129+,50+,143-,86+
plasmid_9;116-,87+,74-,105+,109+,115-,15-,51+,7+,128+,55+
plasmid_10;5+,131-,51+,9+,77-,72+,92-
plasmid_11;55-,106+,13-,100-,113+,78-,129+,50+,141+,86+,133+
plasmid_12;132+,55-,106+,94+,19-,114-,101+,113+,78-,129+,50+,141+,68-
plasmid_13;28-,103-,61-,99+,14-,114-,100-,113+,78-,129+,50+,141+,86+,135+,124+,98-,142-,70-
plasmid_14;50+,141+,68-
plasmid_15;65+,108+,63-,11-,99-,61+,102+,31+
plasmid_16;116-,87+,75-,105+,109+,115-,34-,99-,61+,102+,26+
plasmid_17;17-,99-,61+,102+,33-
