plasmid_0;186-,58+
plasmid_1;176+,157-,335-,290-,23+,166+,179-,161-,56+,72+,17+
plasmid_2;235+,292+,308-,30+,225+,283-,241+,196-,376-,300+,27+,161+,179+,166-,38-,166+,336-,214+,161-,57-,67+,121+,216-,93-,100-,275-,116-,237+,54-,178+
plasmid_3;235+,292+,308-,16+,161+,179+,166-,35+,71+,31-,188-
plasmid_4;187-,171-,106-,63+,193-,302-,109+,248-,222-
plasmid_5;206-,312-,88+,8+,72+,145+,166+,336-,214+,161-,9+,221+,175-
plasmid_6;122-,293-,337+,343-,181+,201+,50-,89-,44+,67+,69+,166+,336-,214+,161-,74-,161+
plasmid_7;336-,214+
plasmid_8;49+,140+,70-
plasmid_9;140+,70-
plasmid_10;70+,136+,353+,268+,137-,147-
plasmid_11;136+,353+,268+,61+,178+
plasmid_12;86+,45+,86-,100+,93+,216+,34-,201-,181-,343+,338-,293+,122+
plasmid_13;122-,293-,338+,39-,86-,100+,93+,216+,40-,207-,84-,240-,169+,210-
plasmid_14;246+,351+,144+,273-,78+,86-,100+,93+,216+,15+,253-,303-,182+,359-,85+,350+,115-,151-,327+
plasmid_15;95-,362-,372+,341+,254-,4+,86-,100+,93+,216+,36-,73-,42-,65-,66+
plasmid_16;122-,64+,116-,237+,329+
plasmid_17;138+,76-,215+,101+,328+,97-
plasmid_18;120-,155+,167+,96-,223-,112+,154-,59+,127-,189+,229-,259+,114+,321-
plasmid_19;281-,274+,129-,150+,160-,185+,311-,226+,52+,127-,190+
plasmid_20;119+,87+,123-
plasmid_21;19-,67+,47-,73+,62+,67-,14+
plasmid_22;330+,151+,115+,350-,85-,359+,182-,354+,370-,272+,3-,89+,32-,67+,55+,198-,131+,67+,26-,254+,320-
plasmid_23;330+,151+,115+,350-,85-,359+,182-,340-,355-,22+,254+,339-,372-,362+,95+
plasmid_24;331+,21+,254+,339-,372-,362+,95+
plasmid_25;100+
plasmid_26;218-,33+,71+,18+,335+,157+,176-
plasmid_27;309-,198+,231-,268+,357-
plasmid_28;210+,168+,240+,83+,207+,46+,103+
plasmid_29;103+
plasmid_30;344-,146-,317-,278-,245+,318+,139-,199-,334+,233-,284+,307-,197+,48+,73+,20+,279+,157+,217+
plasmid_31;264+,232+,115+,349+,85-,360-,182-,340-,13+,184-
plasmid_32;232+,115+,349+,85-,360-,182-,354+,371+,272+,37+,110-,289+,251+
plasmid_33;264+,232+,115+,349+,85-,360-,182-,41+,110-,288+,251+
plasmid_34;232+,115+,349+,85-,360-
plasmid_35;208-,332-,126-,220+,141-,2-,225+,175-
plasmid_36;247+,135+,247+,342-,225+,283-,241+,196-,376-,314+,356+
plasmid_37;123+,368-
plasmid_38;208-,332-,126-,220+,141-,1-,191+
plasmid_39;184+,322+,191+
plasmid_40;51-,178+
plasmid_41;88+,24+,221+,175-
plasmid_42;286+,218-,6-,221+,175-
plasmid_43;65+,11-,221+
