plasmid_0;186-,58+
plasmid_2;235+,292+,308-,30+,225+,283-,241+,196-,376-,300+,27+,161+,179+,166-,38-,166+,336-,214+,161-,57-,67+,121+,216-,93-,100-,275-,116-,237+,54-,178+
plasmid_4;187-,171-,106-,63+,193-,302-,109+,248-,222-
plasmid_6;122-,293-,337+,343-,181+,201+,50-,89-,44+,67+,69+,166+,336-,214+,161-,74-,161+
plasmid_8;49+,140+,70-
plasmid_10;70+,136+,353+,268+,137-,147-
plasmid_12;86+,45+,86-,100+,93+,216+,34-,201-,181-,343+,338-,293+,122+
plasmid_16;122-,64+,116-,237+,329+
plasmid_19;281-,274+,129-,150+,160-,185+,311-,226+,52+,127-,190+
plasmid_20;119+,87+,123-
plasmid_21;19-,67+,47-,73+,62+,67-,14+
plasmid_28;210+,168+,240+,83+,207+,46+,103+
