plasmid_0;64+
plasmid_1;121+,71-,119+,91-,88+,75+,101-,18-,101-,55-,130-,159-,134+
plasmid_2;133-,164-,120-,89-,118-,72-,118+,161+,154-,176-,107+
plasmid_3;121+,179+,66+,173-,111+,191+,112+
plasmid_4;118-,105-,118+,161+,154-,176-,76+,120+,165+
plasmid_5;118-,67+,96-,87+,118+,161+,154-,62+,169-,98-,112+
plasmid_7;104+,27+,88+,100+,189+,172-,171+,130-,160-,134+
plasmid_8;116-,57+,146-
plasmid_9;118+,161+,154-,176-,92+
plasmid_10;154-,176-,84+,154+,161-
plasmid_11;113+,78+,141-
plasmid_12;115+,52+
plasmid_13;113+,83+,141-
