plasmid_1;169+,125-,169+,60+,18+
plasmid_2;163-,185+,123+,151+,148-,111-,186+,172+,171-
plasmid_4;96+,160-,82-,130-,107+,167+,164-,175-,68-,167+
plasmid_5;26-,150+,148-,191-,49+
plasmid_8;176-,57+,166+,164-,176-,84+
plasmid_9;159-,128-,159-,91+,159+
plasmid_11;77+,129-,83+,179+
plasmid_13;163-,124+
plasmid_14;174-,190+,100+
plasmid_16;161-,173+,112+,176+,164+,167-,68+
plasmid_17;171+,81+,190-,174+
plasmid_18;73+
plasmid_20;126+
plasmid_39;135+,193+
plasmid_48;129+,144+
