plasmid_0;66+
plasmid_1;77+,461+,367+,225-,83-,370-,373+,341+,438+,326-,464-,181+,556-,216-,229+,31-,554-,483+,108+,62-
plasmid_2;115+,83-,370-,373+,341+,438+,326-,463+,181+,556-,216-,229+
plasmid_3;476+,445+,378-,267+,296+,333+,476-,449+,452-,277+,398+,468-,475+,2-,184-,90+,232+,473+,365-,434-,411-,11-,498-,108+,69+
plasmid_4;199-,506-,286+,522+,266+,327+,197-,81-,478-,449+,452-,277+,398+,468-,475+,22-,423-
plasmid_5;129-,421+,7+,478-,449+,452-,277+,398+,468-,475+,24-,418-,422+,371+,159-,486-,457+,301+,539-,275-,425-,416-
plasmid_6;129-,5+,478-,449+,452-,277+,398+,468-,475+,47+,360-,511+,330-,430-,149+
plasmid_7;449+,452-,277+,398+,468-,475+
plasmid_8;88-,70+,315+,88-,201-,220+,135+,363-,381-,303+,535-,389+,196+,164-,145-,529-,128+
plasmid_9;128-,140-,164+,202+,389-,530+,303-,380-,363+,136+,220-,26-,206+
plasmid_10;449+,452-,276+
plasmid_11;269+,170+,317-
plasmid_12;269+,171-,105-,78+,160-,127-,455-,467-,384+,480-,441+,63+
plasmid_13;344-,377-,437-,52+,105+,171+,133-,71-,442+,160-,127-,455-,467-,384+,479+,440+,75+,410-,491-,450-,466-,258-,49+,104-,56+
plasmid_14;236-,82+,296-,268-,378+,332+,250+,91+,67-,514+,295-
plasmid_15;295+,58+,344+
plasmid_16;197-,60+,139+,404-
plasmid_17;80+
plasmid_18;223-,177+,261-,481-,366-,59+,139+
plasmid_19;360+,437-,458+,225+,367-,461-,65+,206+
plasmid_20;471-,29-,183+,8+,108-,498+,551-,543-,50+,471+
plasmid_21;100+
plasmid_22;199-,507+,286+,521-,266+,328-
plasmid_23;315+
plasmid_24;216-,229+,562+,250+,446-,366+,482-,261+,176+,223+
plasmid_25;557-,181-,464+,326+,39+,105+,171+,133-,3+,318+,119-,403+,113+,243+,257-,287-
plasmid_26;317+,171+,133-,33+,120-
plasmid_27;344+
plasmid_28;499+,411+,434+,365+,472-,232-,184+,99+,529-,128+
plasmid_29;441-,480+,384-,469-,520-,160+,442-
plasmid_30;206-,477-,512-,330-,431+,149+
plasmid_31;250+,91+
plasmid_32;449+,258+,466+,408-,410+,222+,124-
plasmid_33;334-,525-,142+,25+,362+,420-,294+,358+
plasmid_34;334-,525-,142+,1+,108-
plasmid_35;142+,314+,440-,480+,384-,469-
plasmid_36;544+,284+,174+,505-
plasmid_37;444+,325+,174+,504+
plasmid_38;401-,207-,231+,45-,236+
plasmid_39;48+,236+
plasmid_40;236+
