plasmid_1;169+,125-,169+,60+,18+
plasmid_2;163-,185+,123+,151+,148-,111-,186+,172+,171-
plasmid_6;26-,150+,148-,191-,49+
plasmid_9;159-,72-,167+,164-,176-,57+,166+,164-,175-,59+,149-,131+
plasmid_11;166+,164-,176-,84+
plasmid_12;174-,190+,100+
plasmid_13;163-,124+
plasmid_17;73+
plasmid_18;112+,176+,164+,167-,68+
plasmid_19;171+,81+,190-,174+
plasmid_21;115+
plasmid_22;126+
plasmid_44;135+,193+
plasmid_52;119+
