plasmid_0;186-,58+
plasmid_2;187-,171-,106-,63+,193-,302-,109+,248-,222-
plasmid_3;49+,140+,70-
plasmid_5;235+,292+,308-,30+,225+,283-,241+,196-,376-,300+,27+,161+,179+,166-,38-,166+,336-,214+,161-,57-,67+,121+,216-,93-,100-,275-,116-,237+,54-,178+
plasmid_7;70+,136+,353+,268+,137-,147-
plasmid_9;138+,66-,65+,42+,73+,62+,67-,44-,89+,50+,201-,181-,343+,337-,293+,122+
plasmid_11;86+,45+,86-,100+,93+,216+,34-,201-,181-,343+,338-,293+,122+
plasmid_17;122-,64+,116-,237+,329+
plasmid_18;281-,274+,129-,150+,160-,185+,311-,226+,52+,127-,190+
plasmid_19;119+,87+,123-
plasmid_20;232+,115+,350-,85-,359+,182-,41+,110-,288+,251+
plasmid_21;320+,254-,26+,67-,14+
plasmid_28;210+,168+,240+,83+,207+,46+,103+
