plasmid_0;32+
plasmid_1;50+
plasmid_2;141-,249+,85-,254-,215+,55-,7-,257-,169-,2+,235-,154+,117-,180+,144-,91-,156+,128+,75+,137-,54-
plasmid_3;11+,125-,107+,128+,75+,137-,54-
plasmid_4;71-,24+
plasmid_5;12+,143-,198+,95+,214+,184-
plasmid_6;83+,35+,114+,225-,177+,118-
plasmid_7;83+,31+
plasmid_8;109-,194-,93+,191-,127-,122-,155-,37-,65+,47-,64+,40-,129+,79-,87-,6+
plasmid_9;104-,18-,64+,15-
plasmid_10;101-,1+,167-,3-,64+,17-
plasmid_11;167+,48+,64+,13-,255-
plasmid_12;170-,36+,64-,89+,64+,5-,65-,251+,16-
plasmid_13;124+,190+,161-,227-,100-,132+,159-,58+,45+,221-,116+,105-,142-,81+
plasmid_14;121-,116+,105-,185-,232-,182-,81+
plasmid_15;204-,114+,226+,175-,118-
plasmid_16;141-,249+,85-,254-,215+,55-,4+,101+
plasmid_17;41+,104+
plasmid_18;104+
